Date,r_data,rv_data_not_scaled,day_of_week,Mon,Tues,Wed,Thurs,Fri,month_yr,Summer,Autumn,Winter,Spring,Season,RV_sc_sqr
2012-01-18,0.000532873909198983,6.50604652720942e-05,2,0,0,1,0,0,1,1,0,0,0,1,0.8066006773620649
2000-12-20,-0.00396722184714093,0.000152258668994019,2,0,0,1,0,0,12,1,0,0,0,1,1.2339313959617813
2002-02-11,0.00753587420543944,2.12168634519711e-05,0,1,0,0,0,0,2,1,0,0,0,1,0.4606176663130833
2007-05-03,0.00126569113209385,1.50167628638193e-05,3,0,0,0,1,0,5,0,1,0,0,2,0.38751468183566024
2011-01-31,-0.0044013980037132,1.98270009202016e-05,0,1,0,0,0,0,1,1,0,0,0,1,0.44527520613887317
2005-01-05,-0.00474192046858057,6.87754049114918e-06,2,0,0,1,0,0,1,1,0,0,0,1,0.26225065283329957
2004-06-16,0.00529101763441631,1.16961751149615e-05,2,0,0,1,0,0,6,0,0,1,0,3,0.34199671219123584
2015-10-29,-0.0128968933655091,9.46649098813076e-05,3,0,0,0,1,0,10,0,0,0,1,4,0.9729589399420081
2011-05-10,-0.0065459350264927,5.07484525792265e-05,1,0,1,0,0,0,5,0,1,0,0,2,0.7123794815912828
2006-05-23,-0.00338490656304735,5.01600635521367e-05,1,0,1,0,0,0,5,0,1,0,0,2,0.7082376970490677
2012-09-05,-0.00576678326638636,3.3625397250321e-05,2,0,0,1,0,0,9,0,0,0,1,4,0.579874100562536
2010-05-28,0.0177270833605725,0.000138114010347746,4,0,0,0,0,1,5,0,1,0,0,2,1.1752191725280268
2008-08-01,-0.014856467713658,9.80830450192424e-05,4,0,0,0,0,1,8,0,0,1,0,3,0.9903688455279801
2005-09-13,0.00519690248360405,1.49049928058504e-05,1,0,1,0,0,0,9,0,0,0,1,4,0.386069848678324
2003-09-08,0.00512097455300342,8.06494860038421e-06,0,1,0,0,0,0,9,0,0,0,1,4,0.283988531465343
2006-05-29,0.0109809037895605,6.61102214511013e-05,0,1,0,0,0,0,5,0,1,0,0,2,0.8130819236159498
2015-10-27,-0.000344300552907129,2.06066172451622e-05,1,0,1,0,0,0,10,0,0,0,1,4,0.45394512052848635
2003-12-01,-0.00512861975233925,2.06857985417646e-05,0,1,0,0,0,0,12,1,0,0,0,1,0.45481643046139614
2006-03-23,0.00435877967758991,1.30636518851677e-05,3,0,0,0,1,0,3,0,1,0,0,2,0.361436742531355
2012-03-13,0.012062479881914,6.64610699541687e-05,1,0,1,0,0,0,3,0,1,0,0,2,0.8152365911449799
2008-01-24,0.0305863172670851,0.000238733210253119,3,0,0,0,1,0,1,1,0,0,0,1,1.545099382736007
2007-08-20,0.0450970964538673,0.000518060555302767,0,1,0,0,0,0,8,0,0,1,0,3,2.276094363823185
2004-01-23,0.00243195892460513,8.99946249915034e-06,4,0,0,0,0,1,1,1,0,0,0,1,0.29999104151874834
2014-11-13,-0.00373161174925052,2.50138138617462e-05,3,0,0,0,1,0,11,0,0,0,1,4,0.5001381195404546
2014-02-10,0.0107075302739652,2.80905987715135e-05,0,1,0,0,0,0,2,1,0,0,0,1,0.5300056487577609
2013-02-06,0.00779997250924858,1.48421383716078e-05,2,0,0,1,0,0,2,1,0,0,0,1,0.38525495936597365
2008-12-11,-0.0117978353238613,0.000330963906071575,3,0,0,0,1,0,12,1,0,0,0,1,1.8192413420752482
2004-09-21,0.000330642275628179,1.15623286447188e-05,1,0,1,0,0,0,9,0,0,0,1,4,0.3400342430508845
2005-09-28,-0.000345691819187977,1.6607991619332e-05,2,0,0,1,0,0,9,0,0,0,1,4,0.4075290372394586
2009-07-23,-0.00108206488190987,3.87374996917032e-05,3,0,0,0,1,0,7,0,0,1,0,3,0.6223945669083496
2003-03-04,-0.00134995935098647,8.38771499082403e-05,1,0,1,0,0,0,3,0,1,0,0,2,0.9158446915729779
2012-03-30,-0.000614079314852134,1.13888291903739e-05,4,0,0,0,0,1,3,0,1,0,0,2,0.3374733943642654
2010-12-16,0.00339037673936637,1.60555248367017e-05,3,0,0,0,1,0,12,1,0,0,0,1,0.4006934593514312
2006-02-23,0.00540823163326998,2.09771079272474e-05,3,0,0,0,1,0,2,1,0,0,0,1,0.45800772839819415
2016-01-12,-0.00144156138020435,7.89049169744897e-05,1,0,1,0,0,0,1,1,0,0,0,1,0.8882843968824945
2013-11-26,0.000779843331356389,2.62037202422902e-05,1,0,1,0,0,0,11,0,0,0,1,4,0.5118956948665441
2001-07-12,0.00431277069387726,4.09751321926631e-05,3,0,0,0,1,0,7,0,0,1,0,3,0.6401182093384244
2011-10-07,0.0225880639893958,5.43398515220871e-05,4,0,0,0,0,1,10,0,0,0,1,4,0.7371556926598825
2010-06-23,-0.0159770238485422,5.88684745300485e-05,2,0,0,1,0,0,6,0,0,1,0,3,0.7672579392228438
2001-09-04,0.00429963917303589,1.65579705685635e-05,1,0,1,0,0,0,9,0,0,0,1,4,0.40691486294510676
2011-12-12,0.0117858079245199,0.000132503925573092,0,1,0,0,0,0,12,1,0,0,0,1,1.15110349479572
2004-11-19,-0.00175434115323014,2.70471660844262e-06,4,0,0,0,0,1,11,0,0,0,1,4,0.1644602264513405
2000-08-21,-0.0015860906199503,8.76729980085484e-06,0,1,0,0,0,0,8,0,0,1,0,3,0.29609626476628914
2010-11-05,0.0115830945744122,1.22197516993862e-05,4,0,0,0,0,1,11,0,0,0,1,4,0.3495676143378588
2004-05-24,0.00179493640858297,7.69018647910851e-06,0,1,0,0,0,0,5,0,1,0,0,2,0.2773118547611787
2005-12-19,0.00245177231017735,1.24976150165013e-05,0,1,0,0,0,0,12,1,0,0,0,1,0.35351966022417053
2002-10-11,0.00962008381102297,8.51193894170304e-05,4,0,0,0,0,1,10,0,0,0,1,4,0.9226016985516036
2001-08-01,0.0149278783409503,2.29749931297774e-05,2,0,0,1,0,0,8,0,0,1,0,3,0.4793223667822878
2001-01-05,0.00200175979007966,1.91432020428585e-05,4,0,0,0,0,1,1,1,0,0,0,1,0.4375294509271176
2001-06-13,-0.00359278296764032,2.21176784566768e-05,2,0,0,1,0,0,6,0,0,1,0,3,0.4702943594885739
2013-05-14,0.00204211943229815,1.24147934892646e-05,1,0,1,0,0,0,5,0,1,0,0,2,0.3523463280533033
2004-03-31,-0.000790247798432731,1.05555615269381e-05,2,0,0,1,0,0,3,0,1,0,0,2,0.3248932367245908
2000-12-12,0.000241487564563769,1.72041635839796e-05,1,0,1,0,0,0,12,1,0,0,0,1,0.4147790204913889
2015-09-03,-0.014545243565026,0.00028256561052855,3,0,0,0,1,0,9,0,0,0,1,4,1.6809687996169054
2004-02-04,0.000398168430503887,1.28635036165847e-05,2,0,0,1,0,0,2,1,0,0,0,1,0.35865726838563716
2009-04-28,-0.00623657935397759,0.000180743432327789,1,0,1,0,0,0,4,0,1,0,0,2,1.3444085403172243
2001-01-02,0.01697812650362,4.30816042869472e-05,1,0,1,0,0,0,1,1,0,0,0,1,0.656365784353109
2007-10-16,-0.00699876283950118,6.68849098727999e-05,1,0,1,0,0,0,10,0,0,0,1,4,0.817831950175584
2010-07-01,-0.0150002203587771,0.000159534978329707,3,0,0,0,1,0,7,0,0,1,0,3,1.2630715669735701
2006-11-21,0.00666644167687558,9.58975945894576e-05,1,0,1,0,0,0,11,0,0,0,1,4,0.9792731722530624
2009-05-12,-0.0125078522179543,0.000123822612749101,1,0,1,0,0,0,5,0,1,0,0,2,1.112756095238759
2013-03-07,-0.00148445312263767,3.3085578257927e-05,3,0,0,0,1,0,3,0,1,0,0,2,0.5752006454962216
2004-08-02,0.0024855259230101,4.66790265655389e-06,0,1,0,0,0,0,8,0,0,1,0,3,0.21605329565998038
2006-06-14,0.00245621762959303,0.000223123984284638,2,0,0,1,0,0,6,0,0,1,0,3,1.4937335247112786
2011-05-30,-0.00351793477919671,2.01079956797069e-05,0,1,0,0,0,0,5,0,1,0,0,2,0.4484193983282492
2004-08-19,0.00293002622581184,1.30027234747806e-05,3,0,0,0,1,0,8,0,0,1,0,3,0.3605928933684162
2006-08-07,0.0011494370033116,1.92448212823385e-05,0,1,0,0,0,0,8,0,0,1,0,3,0.4386891984348201
2009-06-25,0.0127888993479388,3.07996841000943e-05,3,0,0,0,1,0,6,0,0,1,0,3,0.5549746309525716
2007-03-15,0.0191641842965193,3.44556812863114e-05,3,0,0,0,1,0,3,0,1,0,0,2,0.5869896190420355
2013-09-02,0.0103299952898563,3.92472678191298e-05,0,1,0,0,0,0,9,0,0,0,1,4,0.6264763987504222
2001-04-30,0.0107198345102244,3.79162398212549e-05,0,1,0,0,0,0,4,0,1,0,0,2,0.6157616407446544
2012-03-16,-0.00037596780587279,6.6357644539017e-06,4,0,0,0,0,1,3,0,1,0,0,2,0.2575997758908517
2015-11-05,-0.00945301762985018,7.46092420124445e-05,3,0,0,0,1,0,11,0,0,0,1,4,0.8637664152561415
2010-10-13,0.000367176662427582,9.87938765880635e-05,2,0,0,1,0,0,10,0,0,0,1,4,0.9939510882737818
2004-04-30,-0.000147013422591158,2.36216261714003e-05,4,0,0,0,0,1,4,0,1,0,0,2,0.48602084493774855
2012-07-31,0.00550662106814137,2.86588416282991e-05,1,0,1,0,0,0,7,0,0,1,0,3,0.5353395336447617
2004-10-08,-0.00379013935766537,2.44868685026623e-05,4,0,0,0,0,1,10,0,0,0,1,4,0.4948420808971515
2003-06-04,0.00194735600775431,8.72124128738246e-06,2,0,0,1,0,0,6,0,0,1,0,3,0.29531747810419995
2013-10-21,0.00567870486503885,1.03642150535029e-05,0,1,0,0,0,0,10,0,0,0,1,4,0.3219350098001598
2009-04-09,0.0142916396117396,0.000127506357902481,3,0,0,0,1,0,4,0,1,0,0,2,1.1291871319780482
2006-12-29,0.0016592533638029,5.7970322340944e-06,4,0,0,0,0,1,12,1,0,0,0,1,0.24077026880606334
2011-05-09,0.00289626163485934,7.16604280303523e-05,0,1,0,0,0,0,5,0,1,0,0,2,0.8465248255683486
2000-11-28,0.000907798047030894,4.91384344030749e-05,1,0,1,0,0,0,11,0,0,0,1,4,0.7009881197500776
2014-10-14,0.0100213799666999,4.31946598480229e-05,1,0,1,0,0,0,10,0,0,0,1,4,0.657226443838217
2001-10-12,0.0080631789684702,0.000100856049432411,4,0,0,0,0,1,10,0,0,0,1,4,1.0042711259038117
2007-09-18,-0.0126607328254007,6.47329161081547e-05,1,0,1,0,0,0,9,0,0,0,1,4,0.8045676858298169
2013-08-16,-0.00750172007382943,5.13876725066412e-05,4,0,0,0,0,1,8,0,0,1,0,3,0.7168519547761671
2004-06-21,0.00756830587205748,1.78652711218402e-05,0,1,0,0,0,0,6,0,0,1,0,3,0.4226732913473502
2008-05-30,-0.00962688157466296,8.58298038936342e-05,4,0,0,0,0,1,5,0,1,0,0,2,0.9264437591868931
2006-01-09,0.00839694830485449,5.56020204567502e-06,0,1,0,0,0,0,1,1,0,0,0,1,0.23580080673473153
2011-08-01,0.0164012257105242,9.47221019475632e-05,0,1,0,0,0,0,8,0,0,1,0,3,0.9732528034768931
2007-09-24,0.0146145277612639,3.77745587391942e-05,0,1,0,0,0,0,9,0,0,0,1,4,0.6146101100632352
2003-11-13,0.00457894799142622,9.04598505701765e-06,3,0,0,0,1,0,11,0,0,0,1,4,0.3007654411167887
2003-06-03,-0.00382510523765589,1.88408742608341e-05,1,0,1,0,0,0,6,0,0,1,0,3,0.43406075912058784
2012-05-04,-0.0074606629076186,1.77411447462992e-05,4,0,0,0,0,1,5,0,1,0,0,2,0.42120238302150187
2013-07-23,0.00304342775377009,1.98327120442928e-05,1,0,1,0,0,0,7,0,0,1,0,3,0.44533933179422636
2014-08-11,0.00398867879945897,3.60299761788094e-05,0,1,0,0,0,0,8,0,0,1,0,3,0.6002497495110631
2007-02-01,0.00702484010754922,2.1220256954793e-05,3,0,0,0,1,0,2,1,0,0,0,1,0.46065450127826824
2004-05-31,0.00283622451578758,1.60023504539612e-05,0,1,0,0,0,0,5,0,1,0,0,2,0.40002937959556417
2006-12-12,0.00071276491828165,1.15942859871432e-05,1,0,1,0,0,0,12,1,0,0,0,1,0.3405038323887589
2012-10-09,0.00522788806768126,2.08294039925629e-05,1,0,1,0,0,0,10,0,0,0,1,4,0.4563924187863214
2002-06-12,-0.000180277628034631,8.67738405509554e-06,2,0,0,1,0,0,6,0,0,1,0,3,0.29457399842986043
2008-06-27,-0.0132778885484068,0.000568669311068291,4,0,0,0,0,1,6,0,0,1,0,3,2.3846788275746715
2003-03-06,0.0,3.88814511821431e-05,3,0,0,0,1,0,3,0,1,0,0,2,0.6235499272884498
2010-09-27,0.0158455784480918,9.41421090714394e-05,0,1,0,0,0,0,9,0,0,0,1,4,0.970268566281725
2004-07-23,-0.00375170483726528,1.10346325931869e-05,4,0,0,0,0,1,7,0,0,1,0,3,0.3321841747161791
2005-04-27,-0.00218720572356013,3.53380971412716e-05,2,0,0,1,0,0,4,0,1,0,0,2,0.5944585531496003
2010-01-06,-0.000582591618750072,1.44880280750323e-05,2,0,0,1,0,0,1,1,0,0,0,1,0.38063142375574166
2001-11-08,0.00515180532275927,4.93935800042075e-05,3,0,0,0,1,0,11,0,0,0,1,4,0.7028056630691553
2002-03-14,0.000550573044522551,1.11129868430138e-05,3,0,0,0,1,0,3,0,1,0,0,2,0.33336146812452394
2013-03-15,0.0173400674873889,1.94942285264163e-05,4,0,0,0,0,1,3,0,1,0,0,2,0.44152268941036654
2007-01-25,0.000190662726879509,6.43564595977638e-06,3,0,0,0,1,0,1,1,0,0,0,1,0.2536857496939152
2008-07-07,-0.0157867745210307,0.000128991953353357,0,1,0,0,0,0,7,0,0,1,0,3,1.135746245220987
2006-12-08,-0.00723536348984233,1.22782730626482e-05,4,0,0,0,0,1,12,1,0,0,0,1,0.350403668112196
2014-04-24,0.00239610518296551,1.63140259298551e-05,3,0,0,0,1,0,4,0,1,0,0,2,0.4039062506307014
2009-01-22,0.0126993163621005,0.000305637622913396,3,0,0,0,1,0,1,1,0,0,0,1,1.7482494756567095
2000-11-07,0.0113602008873652,2.03387728655307e-05,1,0,1,0,0,0,11,0,0,0,1,4,0.45098528651753933
2008-07-29,-0.0152927899752289,0.000126105180562683,1,0,1,0,0,0,7,0,0,1,0,3,1.122965629762029
2003-03-26,0.0131212184417668,3.2210923110491e-05,2,0,0,1,0,0,3,0,1,0,0,2,0.5675466774679506
2015-11-13,-0.0146288130356904,2.42554517617709e-05,4,0,0,0,0,1,11,0,0,0,1,4,0.4924982412331125
2013-01-15,-0.000668061170244982,1.0732570178984e-05,1,0,1,0,0,0,1,1,0,0,0,1,0.327606016107519
2009-07-03,-0.0127443162823617,0.000196077499556516,4,0,0,0,0,1,7,0,0,1,0,3,1.4002767567753027
2016-06-16,-0.000208101765817759,6.72653592988398e-05,3,0,0,0,1,0,6,0,0,1,0,3,0.8201546152942126
2013-11-13,-0.0138006540667739,3.61616695594524e-05,2,0,0,1,0,0,11,0,0,0,1,4,0.601345737155028
2014-08-15,0.00324822831580995,2.30366802133902e-05,4,0,0,0,0,1,8,0,0,1,0,3,0.4799654176437111
2010-10-27,-0.0084928292723383,5.52968838551867e-05,2,0,0,1,0,0,10,0,0,0,1,4,0.7436187454279694
2011-10-05,0.0139460714033639,0.000210686951705402,2,0,0,1,0,0,10,0,0,0,1,4,1.4515059479912646
2003-06-12,0.00471154873955193,2.35963401985435e-05,3,0,0,0,1,0,6,0,0,1,0,3,0.48576064268879887
2003-07-29,-0.00372559526508987,7.10266693101172e-06,1,0,1,0,0,0,7,0,0,1,0,3,0.2665082912596102
2013-10-01,-0.00231716515325964,5.10796070642991e-05,1,0,1,0,0,0,10,0,0,0,1,4,0.714699986457948
2007-07-16,-0.00134688592192944,1.71378896998505e-05,0,1,0,0,0,0,7,0,0,1,0,3,0.413979343685775
2016-05-17,0.00686727348764826,2.43970848596964e-05,1,0,1,0,0,0,5,0,1,0,0,2,0.49393405288253206
2005-11-25,-0.000752599190461112,4.38936871199691e-06,4,0,0,0,0,1,11,0,0,0,1,4,0.20950820298968986
2008-01-02,0.00211140076863003,8.22689776434383e-05,2,0,0,1,0,0,1,1,0,0,0,1,0.9070224784614673
2014-11-20,-0.009845576358261,3.11573258670779e-05,3,0,0,0,1,0,11,0,0,0,1,4,0.5581874762754705
2011-09-14,-0.0165602690728157,0.000114087427251409,2,0,0,1,0,0,9,0,0,0,1,4,1.0681171623534986
2011-02-08,0.0044689509851974,4.36133283355621e-05,1,0,1,0,0,0,2,1,0,0,0,1,0.6604038789677277
2002-12-18,-6.69657805101309e-05,1.15142952105539e-05,2,0,0,1,0,0,12,1,0,0,0,1,0.33932720507725134
2011-02-28,-0.00100722077560356,2.42721098430623e-05,0,1,0,0,0,0,2,1,0,0,0,1,0.4926673303869691
2011-02-14,0.011180387095056,1.32279856209908e-05,0,1,0,0,0,0,2,1,0,0,0,1,0.36370297800527834
2015-05-04,0.00225701349332041,3.76944274485769e-05,0,1,0,0,0,0,5,0,1,0,0,2,0.6139578768008185
2002-12-06,-0.00435084242157124,7.84644852176911e-06,4,0,0,0,0,1,12,1,0,0,0,1,0.2801151285055684
2001-03-29,-0.000534801428397458,6.41929630196146e-05,3,0,0,0,1,0,3,0,1,0,0,2,0.8012051111894793
2003-07-25,0.00255279410925269,1.82492161691087e-05,4,0,0,0,0,1,7,0,0,1,0,3,0.4271910131206964
2005-04-06,-0.00327221457123272,2.6201733243065e-05,2,0,0,1,0,0,4,0,1,0,0,2,0.5118762862554291
2003-10-08,0.00755211116710619,1.30490256841612e-05,2,0,0,1,0,0,10,0,0,0,1,4,0.361234351690993
2001-07-20,-0.00404422626170309,6.98866647941751e-06,4,0,0,0,0,1,7,0,0,1,0,3,0.26436086093477434
2011-05-05,0.00286459747117362,2.76680833940976e-05,3,0,0,0,1,0,5,0,1,0,0,2,0.5260045949808575
2001-07-24,-0.00606639186447211,2.02284818407775e-05,1,0,1,0,0,0,7,0,0,1,0,3,0.4497608457922666
2005-09-16,0.00875660406428303,2.80288792319264e-05,4,0,0,0,0,1,9,0,0,0,1,4,0.5294230749780973
2005-04-26,-0.00156290732517306,1.97593976466894e-05,1,0,1,0,0,0,4,0,1,0,0,2,0.44451544007705057
2013-01-25,0.00517346316829936,5.41017701111522e-06,4,0,0,0,0,1,1,1,0,0,0,1,0.23259787211226202
2005-06-30,0.00339418631166843,2.22913087687024e-05,3,0,0,0,1,0,6,0,0,1,0,3,0.47213672562831205
2000-09-01,0.0102271047519746,1.11802367888804e-05,4,0,0,0,0,1,9,0,0,0,1,4,0.33436861080072094
2007-05-01,-0.00328140777555142,1.63609094703605e-05,1,0,1,0,0,0,5,0,1,0,0,2,0.4044862107706578
2003-08-28,0.00536312032095232,2.06970627177464e-05,3,0,0,0,1,0,8,0,0,1,0,3,0.4549402457218574
2015-05-11,-0.00165562584128409,0.000114920104762491,0,1,0,0,0,0,5,0,1,0,0,2,1.0720079512881004
2001-12-20,0.00593882969255155,1.82290475784846e-05,3,0,0,0,1,0,12,1,0,0,0,1,0.42695488729471875
2005-11-15,-0.00112901136661492,1.3744509699097e-05,1,0,1,0,0,0,11,0,0,0,1,4,0.37073588576096866
2011-04-05,0.00271503735808132,1.18346690448747e-05,1,0,1,0,0,0,4,0,1,0,0,2,0.3440155380920272
2001-05-31,-0.00610720451368785,2.59740519330801e-05,3,0,0,0,1,0,5,0,1,0,0,2,0.5096474461142732
2012-11-15,-0.0089537596654079,1.18203263772379e-05,3,0,0,0,1,0,11,0,0,0,1,4,0.34380701530419505
2005-08-11,0.00778774558757966,1.3916374507572e-05,3,0,0,0,1,0,8,0,0,1,0,3,0.37304657226105165
2011-11-04,0.0258651426173486,1.94421004121983e-05,4,0,0,0,0,1,11,0,0,0,1,4,0.4409319722156503
2010-08-31,-0.010947451893049,6.06525839835325e-05,1,0,1,0,0,0,8,0,0,1,0,3,0.7787976886427725
2014-04-30,0.000455189449942495,4.17484941227785e-05,2,0,0,1,0,0,4,0,1,0,0,2,0.6461307462331328
2010-07-07,-0.00504534485871488,7.17248890941936e-05,2,0,0,1,0,0,7,0,0,1,0,3,0.8469054793434365
2002-06-14,-0.00590222213745761,1.58348710137342e-05,4,0,0,0,0,1,6,0,0,1,0,3,0.39793053431138203
2015-11-18,0.00290108165771841,7.08435150282058e-05,2,0,0,1,0,0,11,0,0,0,1,4,0.8416858976376271
2006-07-21,-0.00721096615694172,4.12236885002483e-05,4,0,0,0,0,1,7,0,0,1,0,3,0.6420567615113815
2013-01-22,0.000330871680372269,2.10843626688437e-05,1,0,1,0,0,0,1,1,0,0,0,1,0.4591771190819911
2009-06-02,0.0155168278820153,0.000145042112829291,1,0,1,0,0,0,6,0,0,1,0,3,1.2043343091903138
2000-07-26,0.000243716680566664,2.20876270236238e-05,2,0,0,1,0,0,7,0,0,1,0,3,0.46997475489247076
2012-05-31,-0.00439901048252445,0.000127614039166646,3,0,0,0,1,0,5,0,1,0,0,2,1.1296638401163683
2005-11-29,-0.00565331514365752,1.21396649094591e-05,1,0,1,0,0,0,11,0,0,0,1,4,0.34842021912425086
2012-12-17,-0.00212177128832103,2.81682895049863e-05,0,1,0,0,0,0,12,1,0,0,0,1,0.5307380663282624
2002-08-07,0.0216686740636458,0.000139981586284759,2,0,0,1,0,0,8,0,0,1,0,3,1.183138141912258
2012-12-13,-0.000221892451145678,1.16540443132829e-05,3,0,0,0,1,0,12,1,0,0,0,1,0.3413802031940766
2009-01-13,-0.00782244139258914,7.48294360012575e-05,1,0,1,0,0,0,1,1,0,0,0,1,0.8650400915637233
2011-02-02,0.00930046953731889,1.35041132113434e-05,2,0,0,1,0,0,2,1,0,0,0,1,0.3674794308712176
2006-01-23,-0.0087519308956896,2.31562405205239e-05,0,1,0,0,0,0,1,1,0,0,0,1,0.4812093153766238
2006-07-26,-0.0114222492639904,8.04292517677401e-05,2,0,0,1,0,0,7,0,0,1,0,3,0.8968235710982406
2004-12-24,0.00562265398565032,2.54370632550661e-06,4,0,0,0,0,1,12,1,0,0,0,1,0.15949000989110915
2005-12-13,-0.00539190348589891,1.38040117365594e-05,1,0,1,0,0,0,12,1,0,0,0,1,0.3715375046554439
2013-02-20,0.00330373398924344,6.0358527749288e-05,2,0,0,1,0,0,2,1,0,0,0,1,0.776907508969298
2001-04-02,0.0149487157210615,7.27244901153481e-05,0,1,0,0,0,0,4,0,1,0,0,2,0.8527865507578558
2005-06-03,0.00317623584878035,1.19800215078055e-05,4,0,0,0,0,1,6,0,0,1,0,3,0.34612167669485105
2005-11-10,0.00388101658059625,3.49236186003936e-05,3,0,0,0,1,0,11,0,0,0,1,4,0.5909620850815523
2008-11-19,-0.00672099129625181,0.00120865723686922,2,0,0,1,0,0,11,0,0,0,1,4,3.476574804127217
2004-06-28,-0.00192864090640654,5.45111584004314e-06,0,1,0,0,0,0,6,0,0,1,0,3,0.2334762480434175
2002-08-26,-0.00238941227273237,6.90964011647753e-05,0,1,0,0,0,0,8,0,0,1,0,3,0.8312424505809077
2001-03-01,0.00706949593791428,3.95696969181382e-05,3,0,0,0,1,0,3,0,1,0,0,2,0.6290444890318824
2004-07-09,-0.00131787420759188,9.85075608744405e-06,4,0,0,0,0,1,7,0,0,1,0,3,0.3138591417729305
2009-10-23,0.00963593816753239,1.25892288656566e-05,4,0,0,0,0,1,10,0,0,0,1,4,0.35481303338035086
2006-03-21,-0.00182151235847172,1.25416971562578e-05,1,0,1,0,0,0,3,0,1,0,0,2,0.35414258648541264
2001-07-25,-0.010012374178519,3.87050537926712e-05,2,0,0,1,0,0,7,0,0,1,0,3,0.6221338585278188
2011-07-21,0.00138791704399033,2.17858818845906e-05,3,0,0,0,1,0,7,0,0,1,0,3,0.4667534883060929
2007-10-08,0.00737576592044142,5.84291530909784e-05,0,1,0,0,0,0,10,0,0,0,1,4,0.764389645998547
2009-06-03,0.0155286908439596,5.24746439161922e-05,2,0,0,1,0,0,6,0,0,1,0,3,0.7243938425759305
2007-04-19,-0.0115789069811658,2.85320983280769e-05,3,0,0,0,1,0,4,0,1,0,0,2,0.5341544563895063
2005-04-01,0.00691070996349374,2.37532550279739e-05,4,0,0,0,0,1,4,0,1,0,0,2,0.4873731119786349
2010-01-27,-0.0156416690513481,4.73064049675318e-05,2,0,0,1,0,0,1,1,0,0,0,1,0.6877965176382606
2008-10-21,0.0379450599746338,0.000479851961570952,1,0,1,0,0,0,10,0,0,0,1,4,2.190552354021588
2013-12-04,0.0033578943561654,3.01140339805226e-05,2,0,0,1,0,0,12,1,0,0,0,1,0.5487625532096975
2002-09-04,-0.0160352355093689,7.53910115876576e-05,2,0,0,1,0,0,9,0,0,0,1,4,0.8682799755128389
